  76 reproducibility	probability
   3 compare	evaluations
   3 collections	such
   3 collections	in
   3 collections	are
   3 clickthrough	data
   3 chowdhury	2005
   3 chow	2002
   3 case	of
   3 by	approximately
   3 bootstrap	estimates
   3 begin	to
   3 be	used
   3 be	reliable
   3 be	considered
   3 available	from
   3 automatically	evaluated
   3 automatic	technique
   3 automatic	method
   3 automatic	evaluations
   3 at	which
   3 at	ten
   3 as	many
   3 as	it
   3 as	discussed
   3 are	more
   3 and	e5
   3 and	above
   3 analysis	of
   3 an	example
   3 an	engine
   3 amount	of
   3 all	of
   3 al	2002
   3 ad	hoc
   3 across	all
   3 a	smaller
   3 a	significant
   3 a	sample
   3 a	priori
   3 a	pair
   3 a	lower
   3 a	hypothesis
   3 a	different
   3 a	desired
   3 a	context
   3 a	conservative
   3 a	conclusion
   3 a	1
   3 90	reproducibility
   3 500	queries
   3 4	3
   3 3	that
   3 3	2
   3 3	1
   2 would	likely
   2 without	the
   2 with	title-match
   2 with	this
   2 with	these
   2 with	that
   2 with	smaller
   2 with	more
   2 with	both
   2 with	at
   2 with	an
   2 with	50
   2 while	not
   2 which	is
   2 whether	one
   2 where	manual
   2 when	performing
   2 when	a
   2 we	will
   2 we	validate
   2 we	therefore
   2 we	simply
   2 we	present
   2 we	must
   2 we	might
   2 we	hypothesize
   2 we	favor
   2 we	examine
   2 we	evaluate
   2 we	do
   2 we	chose
   2 we	briefly
   2 we	believe
   2 we	begin
   2 we	assume
   2 vs	engine
   2 voorhees	and
   2 very	highly
   2 versus	those
   2 variability	in
   2 values	and
   2 validate	this
   2 validate	our
   2 used	in
   2 used	as
   2 use	to
   2 use	the
   2 use	reproducibility
   2 up	to
   2 unaware	of
   2 ultimate	goal
   2 typically	have
   2 type	of
   2 two	methods
   2 two	basic
   2 two	aspects
   2 true	distribution
   2 trec	requires
   2 towards	particular
   2 too	quickly
   2 to	validate
   2 to	using
   2 to	those
   2 to	that
   2 to	test
   2 to	support
   2 to	simply
   2 to	reconstruct
   2 to	reach
   2 to	prevent
   2 to	predict
   2 to	infer
   2 to	include
   2 to	generalize
   2 to	estimates
   2 to	draw
   2 to	develop
   2 to	construct
   2 to	become
   2 to	automatically
   2 to	as
   2 to	apply
   2 to	aid
   2 to	address
   2 to	achieve
   2 title-match	automatic
   2 time	in
   2 tied	scores
   2 tied	ranks
   2 throughout	the
   2 those	with
   2 this	utility
   2 this	technique
   2 this	serves
   2 this	provides
   2 this	procedure
   2 this	may
   2 this	effort
   2 this	convergence
   2 this	can
   2 they	do
   2 they	differ
   2 these	two
   2 these	semiautomatic
   2 these	reproducibility
   2 these	purely
   2 these	na
   2 these	methods
   2 these	heuristics
   2 these	changes
   2 these	automatic
   2 then	examine
   2 them	to
   2 their	quality
   2 their	conclusions
   2 their	average
   2 their	associated
   2 the	use
   2 the	twenty
   2 the	total
   2 the	title-match
   2 the	text
   2 the	test
   2 the	technique
   2 the	tdt
   2 the	sign
   2 the	score
   2 the	requisite
   2 the	required
   2 the	repetition
   2 the	remainder
   2 the	reliable
   2 the	ranked
   2 the	question
   2 the	previous
   2 the	prediction
   2 the	population
   2 the	pointwise
   2 the	point-wise
   2 the	overall
   2 the	open
   2 the	nonparametric
   2 the	necessary
   2 the	margin
   2 the	manually
   2 the	lower
   2 the	log
   2 the	level
   2 the	general
   2 the	estimated
   2 the	estimate
   2 the	document
   2 the	diversity
   2 the	discrepancies
   2 the	corresponding
   2 the	correlation
   2 the	converse
   2 the	collection
   2 the	category-match
   2 the	case
   2 the	associated
   2 the	alternative
   2 the	actual
   2 the	300
   2 the	16
   2 that	use
   2 that	this
   2 that	reproducibility
   2 that	have
   2 that	generalize
   2 that	evaluations
   2 that	any
   2 than	simply
   2 textual	approaches
   2 text	retrieval
   2 tests	to
   2 tests	such
   2 tests	is
   2 test	that
   2 test	our
   2 test	for
   2 test	bootstrap
   2 terms	of
   2 ten	engines
   2 ten	denoted
   2 techniques	with
   2 techniques	for
   2 technique	in
   2 technique	detailed
   2 tdt	cost
   2 taxonomies	to
   2 task	required
   2 takes	place
   2 table	i
   2 summize	inc
   2 suffer	from
   2 such	collections
   2 such	analysis
   2 such	a
   2 statistics	about
   2 state	of
   2 sort	of
   2 soboroff	2006
   2 so	we
   2 small	query
   2 small	pilot
   2 sizes	the
   2 sizes	required
   2 sizes	nman
   2 size	when
   2 size	we
   2 size	nman
   2 size	at
   2 size	as
   2 size	500
   2 since	we
   2 sign	test
   2 shown	that
   2 show	the
   2 show	that
   2 several	different
   2 set	the
   2 semiautomatic	techniques
   2 semiautomatic	evaluations
   2 semiautomatic	approach
   2 seem	to
   2 scores	the
   2 scores	for
   2 score	differences
   2 saw	in
   2 samples	we
   2 samples	the
   2 samples	for
   2 sample	we
   2 sample	that
   2 sample	for
   2 sample	estimates
   2 sample	correspond
   2 sample	and
   2 same	analysis
   2 sakai	2006
   2 s	results
   2 retrieval	systems
   2 retrieval	in
   2 retrieval	evaluations
   2 retrieval	conference
   2 results	with
   2 results	in
   2 results	for
   2 result	in
   2 resources	to
   2 requisite	number
   2 requiring	a
   2 required	in
   2 required	for
   2 require	a
   2 reproducible	across
   2 replication	to
   2 remainder	of
   2 reliably	conclude
   2 reliable	pairwise
   2 reliable	manual
   2 reliable	and
   2 reliability	we
   2 reliability	such
   2 reliability	for
   2 relevant	results
   2 relevant	or
   2 related	work
   2 rel	we
   2 reject	the
   2 reducing	the
   2 reduces	errors
   2 reduce	false
   2 reciprocal	rank
   2 raw	counts
   2 ranks	e10
   2 rankings	of
   2 ranked	list
   2 ranked	by
   2 rank	of
   2 r	e1
   2 question	of
   2 query	stream
   2 query	set
   2 queries	finds
   2 queries	created
   2 provides	insight
   2 provide	reliable
   2 propose	the
   2 project	referred
   2 procedures	are
   2 procedure	described
   2 probability	in
   2 probability	from
   2 probability	estimation
   2 priori	heuristics
   2 primary	endpoint
   2 prevent	a
   2 preferences	such
   2 preference	for
   2 prediction	sizes
   2 predicted	has
   2 precision	over
   2 precision	is
   2 power	or
   2 power	is
   2 positive	errors
   2 population	to
   2 population	and
   2 poorly	performing
   2 pools	in
   2 pointwise	bootstrap
   2 pm	n
   2 pilot	set
   2 pilot	query
   2 pilot	manual
   2 performing	this
   2 performing	a
   2 performance	over
   2 path	from
   2 particular	pairwise
   2 particular	distribution
   2 pairwise	information
   2 pairwise	hypothesis
   2 pairwise	engine
   2 pairs	of
   2 page	mrr
   2 p	rel
   2 over	small
   2 over	half
   2 over	50
   2 outside	the
   2 outperforms	another
   2 outdated	too
   2 out	of
   2 our	investigation
   2 our	hypothesis
   2 our	framework
   2 our	estimate
   2 our	analyses
   2 or	too
   2 or	even
   2 opposed	to
   2 open	directory
   2 only	conclusions
   2 ones	we
   2 one	of
   2 one	exists
   2 one	engine
   2 on	that
   2 on	determining
   2 often	misses
   2 of	whether
   2 of	trec
   2 of	their
   2 of	technology
   2 of	taxonomy
   2 of	table
   2 of	reliable
   2 of	relevant
   2 of	predicting
   2 of	one
   2 of	missed
   2 of	its
   2 of	intelligent
   2 of	information
   2 of	filtering
   2 of	figure
   2 of	even
   2 of	evaluating
   2 of	effort
   2 of	diverse
   2 of	differences
   2 of	detecting
   2 of	course
   2 of	automatic
   2 of	any
   2 of	adequately
   2 of	500
   2 of	300
   2 observed	power
   2 not	terribly
   2 not	shown
   2 not	intended
   2 not	generalize
   2 not	being
   2 nonidentical	engines
   2 none	of
   2 node	to
   2 no	preference
   2 nman	for
   2 need	to
   2 need	for
   2 navigational	and
   2 na	ve
   2 n	-50
   2 multiple	testing
   2 mrr	manual
   2 most	relevant
   2 more	than
   2 more	manual
   2 more	importantly
   2 misses	with
   2 missed	correct
   2 minutes	per
   2 mining	pseudo-relevance
   2 minimum	sample
   2 minimum	query
   2 metrics	for
   2 metric	we
   2 metric	to
   2 methods	have
   2 methods	at
   2 method	to
   2 method	is
   2 meet	this
   2 measuring	the
   2 may	not
   2 may	be
   2 margin	of
   2 many	relevant
   2 many	of
   2 many	conclusions
   2 many	as
   2 manually	evaluating
   2 manual	to
   2 manual	one
   2 manual	evaluations
   2 manual	effort
   2 manual	conclusions
   2 manual	approach
   2 manmatha	et
   2 man	of
   2 magnitude	of
   2 m	850
   2 m	50
   2 lynam	2006
   2 live	engines
   2 limited	version
   2 likelihood	that
   2 like	the
   2 larger	sizes
   2 larger	query
   2 larger	number
   2 large	sample
   2 large	query
   2 large	collection
   2 k	k
   2 judgments	the
   2 judgments	over
   2 judgments	is
   2 judgments	can
   2 judgments	as
   2 judgments	and
   2 judgment	techniques
   2 judging	every
   2 jensen	et
   2 its	own
   2 its	application
   2 it	draws
   2 it	does
   2 issue	of
   2 is	used
   2 is	unknown
   2 is	reliable
   2 is	provided
   2 is	often
   2 is	needed
   2 is	more
   2 is	likely
   2 is	large
   2 is	in
   2 is	greater
   2 is	given
   2 is	based
   2 into	sets
   2 intended	to
   2 integrating	automatic
   2 institute	of
   2 informational	task
   2 infer	pseudo-relevance
   2 increasing	the
   2 increase	the
   2 incorporating	automatic
   2 included	in
   2 in	these
   2 in	terms
   2 in	such
   2 in	prior
   2 in	false
   2 in	evaluation
   2 in	equation
   2 in	engines
   2 in	conclusions
   2 implicit	preferences
   2 implicit	in
   2 illinois	institute
   2 if	the
   2 hypothesis	is
   2 hypothesis	for
   2 human	effort
   2 however	it
   2 highly	correlated
   2 higher	than
   2 higher	node
   2 having	established
   2 have	shown
   2 have	also
   2 have	a
   2 has	more
   2 has	its
   2 guidance	for
   2 given	query
   2 given	environment
   2 future	trial
   2 from	taxonomies
   2 frequent	repetition
   2 framework	that
   2 framework	for
   2 for	two
   2 for	those
   2 for	this
   2 for	these
   2 for	such
   2 for	several
   2 for	integrating
   2 for	even
   2 for	estimating
   2 for	developing
   2 for	convenience
   2 following	experimentation
   2 focusing	on
   2 focused	on
   2 finding	conclusions
   2 finding	a
   2 find	the
   2 finally	we
   2 filtering	reduces
   2 filtering	conclusions
   2 filtering	and
   2 figure	7
   2 figure	4
   2 figure	10
   2 figure	1
   2 few	manual
   2 feasible	we
   2 external	resources
   2 experimentation	with
   2 experimental	environment
   2 expanding	the
   2 example	we
   2 examine	the
   2 examination	of
   2 evidenced	by
   2 every	result
   2 even	with
   2 evaluations	on
   2 evaluations	is
   2 evaluations	in
   2 evaluations	based
   2 evaluation	would
   2 evaluation	with
   2 evaluation	using
   2 evaluation	scores
   2 evaluation	metrics
   2 evaluation	metric
   2 evaluation	however
   2 evaluation	framework
   2 evaluation	for
   2 evaluation	evaluating
   2 evaluation	environment
   2 evaluation	as
   2 evaluating	the
   2 evaluating	each
   2 estimation	techniques
   2 estimating	reproducibility
   2 estimates	with
   2 estimates	that
   2 estimates	over
   2 estimates	is
   2 estimates	begin
   2 estimates	as
   2 estimate	from
   2 established	that
   2 errors	is
   2 errors	are
   2 error	counts
   2 errant	false
   2 equivalent	to
   2 environments	static
   2 environment	because
   2 entire	query
   2 ensure	a
   2 engines	with
   2 engines	we
   2 engines	this
   2 engines	scores
   2 engines	results
   2 engines	in
   2 engines	from
   2 engines	evaluated
   2 engines	as
   2 engines	are
   2 engine	outperforms
   2 endpoint	is
   2 enable	us
   2 effort	needed
   2 effectiveness	relevance
   2 each	evaluation
   2 e6	relatively
   2 e6	and
   2 e5	higher
   2 e4	and
   2 e3	and
   2 e1	e2
   2 dynamic	environment
   2 drop	in
   2 double	bootstrap
   2 documents	for
   2 documents	as
   2 document	collections
   2 divide	the
   2 diversity	of
   2 diverse	set
   2 distribution	in
   2 distinct	query
   2 discrepancies	between
   2 directory	project
   2 different	with
   2 developed	for
   2 determine	which
   2 desired	level
   2 described	by
   2 dependence	on
   2 demand	a
   2 defined	in
   2 decreases	with
   2 decisions	such
   2 davidson	and
   2 created	by
   2 counts	of
   2 costs	for
   2 cost	is
   2 correlates	with
   2 correction	to
   2 correct	pairwise
   2 cormack	and
   2 convergence	takes
   2 considered	to
   2 conference	trec
   2 conclusions	using
   2 conclusions	this
   2 conclusions	it
   2 conclusions	before
   2 concerned	with
   2 component	of
   2 completed	evaluation
   2 comparison	of
   2 comparing	these
   2 comparing	the
   2 compare	only
   2 commonly	used
   2 combination	of
   2 collection	sizes
   2 collection	query
   2 choose	the
   2 category-match	automatic
   2 case	the
   2 candidate	conclusions
   2 candidate	conclusion
   2 calculating	the
   2 by	their
   2 by	shao
   2 by	resampling
   2 by	removing
   2 by	predicting
   2 by	finding
   2 by	de
   2 by	applying
   2 but	they
   2 but	it
   2 buckley	2002
   2 bootstrap	samples
   2 bootstrap	replication
   2 bootstrap	hypothesis
   2 biased	towards
   2 between	the
   2 between	documents
   2 best	result
   2 best	engines
   2 below	the
   2 being	able
   2 begin	with
   2 been	manually
   2 become	reliable
   2 become	outdated
   2 because	of
   2 because	it
   2 be	useful
   2 be	performed
   2 be	evaluated
   2 be	applied
   2 b	conclusions
   2 b	and
   2 automatically	judged
   2 automatic	approach
   2 at	the
   2 at	sample
   2 assume	the
   2 assessor-hours	to
   2 aslam	et
   2 as	relevant
   2 as	opposed
   2 as	much
   2 as	evidenced
   2 as	e
   2 as	dmoz
   2 as	discarding
   2 as	clickthrough
   2 as	both
   2 are	very
   2 are	unaware
   2 are	simply
   2 are	required
   2 are	reliable
   2 are	provided
   2 are	much
   2 are	interested
   2 are	found
   2 are	also
   2 approach	we
   2 approach	is
   2 apply	the
   2 applied	in
   2 application	to
   2 any	two
   2 any	pilot
   2 any	path
   2 any	conclusions
   2 any	automatic
   2 and	validate
   2 and	their
   2 and	set
   2 and	nman
   2 and	manually
   2 and	mackinnon
   2 and	lynam
   2 and	looksmart
   2 and	informational
   2 and	have
   2 and	e9
   2 and	e6
   2 and	e4
   2 and	corresponding
   2 and	category-match
   2 and	buckley
   2 and	automatic
   2 and	an
   2 and	850
   2 analysis	is
   2 an	examination
   2 an	estimate
   2 although	this
   2 alternative	hypothesis
   2 alone	semiautomatic
   2 all	20
   2 alarms	to
   2 alarms	by
   2 al	2004b
   2 al	2003b
   2 al	2003a
   2 adequately	representing
   2 across	varying
   2 across	query
   2 across	pilot
   2 across	any
   2 achieve	a
   2 account	for
   2 absolute	number
   2 above	0
   2 ability	to
   2 a	vs
   2 a	technique
   2 a	simple
   2 a	representative
   2 a	purely
   2 a	preliminary
   2 a	path
   2 a	pairwise
   2 a	outperforms
   2 a	more
   2 a	limited
   2 a	hierarchy
   2 a	dynamic
   2 a	completed
   2 a	combination
   2 90	using
   2 800	queries
   2 650	in
   2 500	and
   2 50	topics
   2 50	queries
   2 4	for
   2 2006	which
   2 2006	this
   2 2006	jansen
   2 2005	jensen
   2 2005	for
   2 2004b	2006
   2 2003a	chowdhury
   2 10	see
   2 10	engines
   2 1	0
   2 0	90
   2 0	9
   2 -50	0
   1 zobel	1998
   1 zero	we
   1 zero	fudge
   1 zero	difference
   1 zero	and
